1,73,12040,0,17,1310,0,34,5e:37:1f:df:7c:ae
2,7,558,0,76,11849,0,34,00:00:00:00:00:03
3,7,558,0,76,11849,0,34,00:00:00:00:00:04
4,7,558,0,76,11849,0,34,00:00:00:00:00:05
4294967294,8,648,0,79,12099,0,34,06:26:a3:42:9f:4a
1,73,12040,0,17,1310,0,35,5e:37:1f:df:7c:ae
2,7,558,0,76,11849,0,35,00:00:00:00:00:03
3,7,558,0,76,11849,0,35,00:00:00:00:00:04
4,7,558,0,76,11849,0,35,00:00:00:00:00:05
4294967294,8,648,0,79,12099,0,35,06:26:a3:42:9f:4a
1,74,12382,0,17,1310,0,36,5e:37:1f:df:7c:ae
2,7,558,0,77,12191,0,36,00:00:00:00:00:03
3,7,558,0,77,12191,0,36,00:00:00:00:00:04
4,7,558,0,77,12191,0,36,00:00:00:00:00:05
4294967294,8,648,0,80,12441,0,36,06:26:a3:42:9f:4a
1,74,12382,0,17,1310,0,37,5e:37:1f:df:7c:ae
2,7,558,0,77,12191,0,37,00:00:00:00:00:03
3,7,558,0,77,12191,0,37,00:00:00:00:00:04
4,7,558,0,77,12191,0,37,00:00:00:00:00:05
4294967294,8,648,0,80,12441,0,37,06:26:a3:42:9f:4a
1,74,12382,0,17,1310,0,38,5e:37:1f:df:7c:ae
2,7,558,0,77,12191,0,38,00:00:00:00:00:03
3,7,558,0,77,12191,0,38,00:00:00:00:00:04
4,7,558,0,77,12191,0,38,00:00:00:00:00:05
4294967294,8,648,0,80,12441,0,38,06:26:a3:42:9f:4a
1,74,12382,0,17,1310,0,39,5e:37:1f:df:7c:ae
2,7,558,0,77,12191,0,39,00:00:00:00:00:03
3,7,558,0,77,12191,0,39,00:00:00:00:00:04
4,7,558,0,77,12191,0,39,00:00:00:00:00:05
4294967294,8,648,0,80,12441,0,39,06:26:a3:42:9f:4a
1,74,12382,0,17,1310,0,40,5e:37:1f:df:7c:ae
2,7,558,0,77,12191,0,40,00:00:00:00:00:03
3,7,558,0,77,12191,0,40,00:00:00:00:00:04
4,7,558,0,77,12191,0,40,00:00:00:00:00:05
